SITE,PLATFORM,Network,Array,GDAC,WMO_ID,ORIG_DESC_YYYYMM,UPDATE_PI_EMAIL,UPDATE_DATE_YYYYMM,SITE_DESCRIPTION,LAT,LON,TYPE,OCEAN,STATUS,DATA_TYPE,PHYS,MET,GEOPHYS,BGCHEM,CO2,FLUX,AirSeaFlux_Ref,COUNTRY,AGENCY,JCOMMOPS_PROGRAM,INFOURL,DATAURL,MetadataURL,PI,EMAILS,MISC,Observatory_or_Project,DAC,DataManager,DataManagementAgency
ASOF-W-SHELF,ADCPFWF,ASOF,, -, - ,200906,stephen.dye@cefas.co.uk,200906,SE-Greenland (ASOF-W) ADCP on Shelf,63.041,-40.856,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,EUROPE,EU-ASOF,,http://www.eu-thor.eu/Home.532.0.html,,,Dye;Dickson;Meincke;quadfasel,meinecke@ifm.uni-hamburg.de;quadfasel@ifm.uni-hamburg.de;stephen.dye@cefas.co.uk,,ASOF,-,-,-
ASOF-W-SLOPE,SE-GREENLAND-T1,ASOF,, -, - ,200512,stephen.dye@cefas.co.uk,200906,SE-Greenland (ASOF-W):1,63.550,-36.650,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,EUROPE,EU-ASOF,,http://www.eu-thor.eu/Home.532.0.html, - ,,Dye;Dickson;Meincke;quadfasel,meinecke@ifm.uni-hamburg.de;quadfasel@ifm.uni-hamburg.de;stephen.dye@cefas.co.uk,,ASOF,-,-,-
ASOF-W-SLOPE,SE-GREENLAND-T2,ASOF,, -, - ,200512,stephen.dye@cefas.co.uk,200906,SE-Greenland (ASOF-W):2,63.283,-35.867,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,EUROPE,EU-ASOF,,http://www.eu-thor.eu/Home.532.0.html, - ,,Dye;Dickson;Meincke;quadfasel,meinecke@ifm.uni-hamburg.de;quadfasel@ifm.uni-hamburg.de;stephen.dye@cefas.co.uk,,ASOF,-,-,-
BARENTSEA-1,BARENTSEA-T1,ASOF,, -, - ,200603,randi.ingvaldsen@imr.no,200906,Barents-Sea   (ASOF-N):1,72.000,20.000,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,EUROPE,ASOF-N,,http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography/projects/asof_n/, - , - ,Ingvaldsen (IMR Norway);  ,randi.ingvaldsen@imr.no,"CLIVAR DATA POLICY,  5 moorings plus 2 bottom ADCPs (current meters and T and S sensors) ",ASOF,-,-,-
BARENTSEA-2,BARENTSEA-T2,ASOF,, -, - ,200603,randi.ingvaldsen@imr.no,200906,Barents-Sea   (ASOF-N):2,76.000,17.000,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,EUROPE,ASOF-N,,http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography/projects/asof_n/, - , - ,Ingvaldsen (IMR Norway);  ,randi.ingvaldsen@imr.no,2-ADCP-array at the sill will be maintained  ~2011,ASOF,-,-,-
FAROEBANK-1,FAROEBANK-T1,ASOF,, -, - ,200503,BogiHan@frs.fo,200901,Iceland-Faroe Inflow (ASOF-E):1,63.300,-6.100,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,EUROPE,ASOF-E,,http://www.frs.fo ,www.envofar.fo (planned),,B Hansen,BogiHan@frs.fo;ngfso@uib.no,,ASOF,-,-,-
FAROEBANK-2,FAROEBANK-T2,ASOF,, -, - ,200503,BogiHan@frs.fo,200901,Iceland-Faroe Inflow (ASOF-E):2,62.700,-6.100,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,EUROPE,ASOF-E,,http://www.frs.fo ,www.envofar.fo (planned),,B Hansen,BogiHan@frs.fo;ngfso@uib.no,,ASOF,-,-,-
FAROEBCO-1,FAROEBCO-T1,ASOF,, -, - ,200901,BogiHan@frs.fo,200901,Faroe Bank Channel Overflow:1,63.970,-13.520,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY/FAROES,,http://www.frs.fo ,www.envofar.fo (planned),,Osterhus;Quadfasel (IfM-HH);B Hansen,quadfasel@ifm.uni-hamburg.de;BogiHan@frs.fo;svein.osterhus@gfi.uib.no;ngfso@uib.no,,ASOF,-,-,-
FAROEBCO-2,FAROEBCO-T2,ASOF,, -, - ,200901,BogiHan@frs.fo,200901,Faroe Bank Channel Overflow:2,63.971,-13.521,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY/FAROES,,http://www.frs.fo ,www.envofar.fo (planned),,Osterhus;Quadfasel (IfM-HH);B Hansen,quadfasel@ifm.uni-hamburg.de;BogiHan@frs.fo;svein.osterhus@gfi.uib.no;ngfso@uib.no,,ASOF,-,-,-
 - , - ,,, -, - ,200503,a.j.watson@uea.ac.uk, -,SE Greenland,63.000,-36.000,subsurface,Atlantic,DISCONTINUED,Delayed Mode Data; Not Accessible,1,,,1,,,,UK,UK,,, - ,,Watson,a.j.watson@uea.ac.uk,BIO,ASOF,-,-,-
